,month,day,campaign_number,user_engagement,displays,cost,clicks,revenue,post_click_conversions,post_click_sales_amount,updated_placement,banner_width,banner_height,banner_area
0,April,1,camp 1,High,4,0.006,0,0.0,0,0.0,abc,160,600,96000
1,April,1,camp 1,High,20170,26.78,158,28.97,23,1972.4602,def,160,600,96000
2,April,1,camp 1,High,14701,27.62,158,28.98,78,2497.2637,ghi,160,600,96000
3,April,1,camp 1,High,171259,216.9,1796,329.5,617,24625.324,mno,160,600,96000
4,April,1,camp 1,Low,552,0.067,1,0.1833,0,0.0,def,160,600,96000
5,April,1,camp 1,Low,16,0.0249,0,0.0,0,0.0,ghi,160,600,96000
6,April,1,camp 1,Low,2234,0.4043,10,1.835,3,101.7494,mno,160,600,96000
7,April,1,camp 1,Medium,2963,1.89,4,0.734,4,100.5044,def,160,600,96000
8,April,1,camp 1,Medium,580,0.9917,9,1.651,0,0.0,ghi,160,600,96000
9,April,1,camp 1,Medium,20152,11.164,185,33.94,13,653.1896,mno,160,600,96000
10,April,1,camp 1,High,56499,50.53,309,56.7,105,4288.67,def,240,400,96000
11,April,1,camp 1,High,392142,352.0,10237,1878.0,2513,119601.42,ghi,240,400,96000
12,April,1,camp 1,High,62395,30.23,678,124.4,173,10402.062,jkl,240,400,96000
13,April,1,camp 1,High,214074,432.5,2120,388.8,805,39654.668,mno,240,400,96000
14,April,1,camp 1,Low,671,0.0997,2,0.367,0,0.0,def,240,400,96000
15,April,1,camp 1,Low,1188,0.904,7,1.284,2,145.5734,ghi,240,400,96000
16,April,1,camp 1,Low,380,0.1743,1,0.1833,1,211.5323,jkl,240,400,96000
17,April,1,camp 1,Low,1789,0.442,3,0.5503,0,0.0,mno,240,400,96000
18,April,1,camp 1,Medium,6595,2.389,30,5.504,3,14.6254,def,240,400,96000
19,April,1,camp 1,Medium,25765,22.2,696,127.7,82,5851.2446,ghi,240,400,96000
20,April,1,camp 1,Medium,4595,2.232,45,8.26,5,392.7653,jkl,240,400,96000
21,April,1,camp 1,Medium,18518,16.64,158,28.98,28,1735.5801,mno,240,400,96000
22,April,1,camp 1,High,11,0.0225,0,0.0,0,0.0,abc,300,250,75000
23,April,1,camp 1,High,52381,54.9,286,52.47,99,4844.9067,def,300,250,75000
24,April,1,camp 1,High,62042,42.16,1164,213.5,364,20272.775,ghi,300,250,75000
25,April,1,camp 1,High,10001,5.496,82,15.04,27,1304.4818,jkl,300,250,75000
26,April,1,camp 1,High,277579,336.0,2042,374.5,754,45839.953,mno,300,250,75000
27,April,1,camp 1,Low,448,0.1226,2,0.367,0,0.0,def,300,250,75000
28,April,1,camp 1,Low,112,0.0661,1,0.1833,0,0.0,ghi,300,250,75000
29,April,1,camp 1,Low,28,0.017,0,0.0,0,0.0,jkl,300,250,75000
30,April,1,camp 1,Low,3841,0.76,15,2.752,7,1864.659,mno,300,250,75000
31,April,1,camp 1,Medium,5932,3.8,30,5.496,6,573.1474,def,300,250,75000
32,April,1,camp 1,Medium,2983,1.846,82,15.04,1,29.2134,ghi,300,250,75000
33,April,1,camp 1,Medium,678,0.384,4,0.734,1,14.1537,jkl,300,250,75000
34,April,1,camp 1,Medium,30998,17.34,184,33.75,12,1323.659,mno,300,250,75000
35,April,1,camp 1,High,1182,0.7544,2,0.367,1,30.8236,def,468,60,28080
36,April,1,camp 1,High,467,0.1835,0,0.0,0,0.0,ghi,468,60,28080
37,April,1,camp 1,High,7,0.0045,1,0.1833,0,0.0,jkl,468,60,28080
38,April,1,camp 1,High,4177,2.553,7,1.284,0,0.0,mno,468,60,28080
39,April,1,camp 1,Low,7,0.0015,1,0.1833,0,0.0,def,468,60,28080
40,April,1,camp 1,Low,36,0.002,0,0.0,0,0.0,mno,468,60,28080
41,April,1,camp 1,Medium,68,0.0102,0,0.0,0,0.0,def,468,60,28080
42,April,1,camp 1,Medium,14,0.0055,0,0.0,0,0.0,ghi,468,60,28080
43,April,1,camp 1,Medium,502,0.1096,0,0.0,0,0.0,mno,468,60,28080
44,April,1,camp 1,High,52004,132.8,1043,191.2,401,15561.607,mno,580,400,232000
45,April,1,camp 1,Low,492,0.1722,6,1.101,1,45.9209,mno,580,400,232000
46,April,1,camp 1,Medium,4795,6.008,60,11.01,8,767.8439,mno,580,400,232000
47,April,1,camp 1,High,5270,8.89,56,10.27,39,776.4618,def,670,90,60300
48,April,1,camp 1,High,20898,16.81,165,30.27,63,2214.2764,ghi,670,90,60300
49,April,1,camp 1,High,434,0.308,3,0.5503,0,0.0,jkl,670,90,60300
50,April,1,camp 1,High,20161,31.66,176,32.28,92,3989.2795,mno,670,90,60300
51,April,1,camp 1,Low,45,0.0111,1,0.1833,0,0.0,def,670,90,60300
52,April,1,camp 1,Low,21,0.0135,0,0.0,0,0.0,ghi,670,90,60300
53,April,1,camp 1,Low,3,0.0015,0,0.0,0,0.0,jkl,670,90,60300
54,April,1,camp 1,Low,175,0.0204,1,0.1833,0,0.0,mno,670,90,60300
55,April,1,camp 1,Medium,441,0.3655,7,1.284,0,0.0,def,670,90,60300
56,April,1,camp 1,Medium,1233,0.9526,9,1.651,2,183.3429,ghi,670,90,60300
57,April,1,camp 1,Medium,84,0.058,0,0.0,0,0.0,jkl,670,90,60300
58,April,1,camp 1,Medium,1978,1.397,13,2.385,0,0.0,mno,670,90,60300
59,April,1,camp 1,High,20,0.0284,0,0.0,0,0.0,abc,728,90,65520
60,April,1,camp 1,High,77942,74.75,410,75.1,121,6710.2427,def,728,90,65520
61,April,1,camp 1,High,221002,292.8,3384,620.5,1179,59726.992,ghi,728,90,65520
62,April,1,camp 1,High,32546,13.57,254,46.6,93,5418.0654,jkl,728,90,65520
63,April,1,camp 1,High,428642,424.0,2961,543.0,1239,57545.656,mno,728,90,65520
64,April,1,camp 1,Low,824,0.1407,4,0.734,0,0.0,def,728,90,65520
65,April,1,camp 1,Low,366,0.4348,3,0.5503,0,0.0,ghi,728,90,65520
66,April,1,camp 1,Low,149,0.06,0,0.0,0,0.0,jkl,728,90,65520
67,April,1,camp 1,Low,5689,1.099,10,1.829,1,12.7891,mno,728,90,65520
68,April,1,camp 1,Medium,1,0.0015,0,0.0,0,0.0,abc,728,90,65520
69,April,1,camp 1,Medium,8165,3.873,34,6.24,1,72.0659,def,728,90,65520
70,April,1,camp 1,Medium,10611,13.17,179,32.84,32,1587.3458,ghi,728,90,65520
71,April,1,camp 1,Medium,2741,1.119,31,5.688,2,85.7347,jkl,728,90,65520
72,April,1,camp 1,Medium,50040,23.42,309,56.66,31,2749.209,mno,728,90,65520
73,April,1,camp 1,High,21,0.0235,1,0.1833,0,0.0,mno,800,250,200000
74,April,1,camp 1,Medium,1,0.0017,0,0.0,0,0.0,mno,800,250,200000
